CPG,CPG Region,Channel,Retailer,Retailer Region,Year,Week,Category,Brand,UPC,PPG, Sales 
ABC Corp,West,Mass,BigCo,West,2017,4,Widgets,A,1234512345,PPG1,"3,40,524.15"
ABC Corp,North,Drug,Rx,North,2017,4,Widgets,A,1234512345,PPG1,"4,29,150.64"
ABC Corp,East,Drug,Rx,East,2017,4,Widgets,A,1234512345,PPG1,"1,12,431.02"
ABC Corp,South,Drug,Rx,South,2017,4,Widgets,A,1234512345,PPG1,"1,04,267.78"
ABC Corp,West,Drug,Rx,West,2017,4,Widgets,A,1234512345,PPG1,"7,52,640.89"
ABC Corp,North,Mass,SuperMart,North,2017,5,Widgets,A,1234567890,PPG1,"5,48,402.85"
ABC Corp,East,Mass,SuperMart,East,2017,5,Widgets,A,1234567890,PPG1,"7,23,165.66"
ABC Corp,South,Mass,SuperMart,Gulf Coast,2017,5,Widgets,A,1234567890,PPG1,"5,02,558.11"
ABC Corp,South,Mass,SuperMart,Deep South,2017,5,Widgets,A,1234567890,PPG1,"3,41,138.87"
ABC Corp,West,Mass,SuperMart,West,2017,5,Widgets,A,1234567890,PPG1,"6,46,199.98"
ABC Corp,North,Mass,BigCo,North,2017,5,Widgets,A,1234567890,PPG1,"2,13,567.46"
ABC Corp,East,Mass,BigCo,East,2017,5,Widgets,A,1234567890,PPG1,"2,63,850.62"
ABC Corp,South,Mass,BigCo,South,2017,5,Widgets,A,1234567890,PPG1,"9,44,893.80"
ABC Corp,West,Mass,BigCo,West,2017,5,Widgets,A,1234567890,PPG1,"6,98,001.44"
ABC Corp,North,Drug,Rx,North,2017,5,Widgets,A,1234567890,PPG1,"1,28,694.33"
ABC Corp,East,Drug,Rx,East,2017,5,Widgets,A,1234567890,PPG1,"5,62,838.73"
ABC Corp,South,Drug,Rx,South,2017,5,Widgets,A,1234567890,PPG1,"3,42,724.29"
ABC Corp,West,Drug,Rx,West,2017,5,Widgets,A,1234567890,PPG1,"9,57,109.10"
ABC Corp,North,Mass,SuperMart,North,2017,5,Widgets,A,1234512345,PPG1,"1,28,160.20"
ABC Corp,East,Mass,SuperMart,East,2017,5,Widgets,A,1234512345,PPG1,"2,40,798.74"
ABC Corp,South,Mass,SuperMart,Gulf Coast,2017,5,Widgets,A,1234512345,PPG1,"7,34,743.10"
ABC Corp,South,Mass,SuperMart,Deep South,2017,5,Widgets,A,1234512345,PPG1,"1,33,337.31"
ABC Corp,West,Mass,SuperMart,West,2017,5,Widgets,A,1234512345,PPG1,"6,13,277.40"
ABC Corp,North,Mass,BigCo,North,2017,5,Widgets,A,1234512345,PPG1,"1,06,065.89"
ABC Corp,East,Mass,BigCo,East,2017,5,Widgets,A,1234512345,PPG1,"8,31,641.30"
ABC Corp,South,Mass,BigCo,South,2017,5,Widgets,A,1234512345,PPG1,"8,53,103.23"
ABC Corp,West,Mass,BigCo,West,2017,5,Widgets,A,1234512345,PPG1,"3,48,254.05"
ABC Corp,North,Drug,Rx,North,2017,5,Widgets,A,1234512345,PPG1,"4,25,502.86"
ABC Corp,East,Drug,Rx,East,2017,5,Widgets,A,1234512345,PPG1,"1,08,709.56"
ABC Corp,South,Drug,Rx,South,2017,5,Widgets,A,1234512345,PPG1,"1,05,206.19"
ABC Corp,West,Drug,Rx,West,2017,5,Widgets,A,1234512345,PPG1,"7,25,094.23"
ABC Corp,North,Mass,SuperMart,North,2017,6,Widgets,A,1234567890,PPG1,"5,59,316.07"
ABC Corp,East,Mass,SuperMart,East,2017,6,Widgets,A,1234567890,PPG1,"7,22,731.76"
ABC Corp,South,Mass,SuperMart,Gulf Coast,2017,6,Widgets,A,1234567890,PPG1,"5,02,909.90"
ABC Corp,South,Mass,SuperMart,Deep South,2017,6,Widgets,A,1234567890,PPG1,"3,27,595.65"
ABC Corp,West,Mass,SuperMart,West,2017,6,Widgets,A,1234567890,PPG1,"6,54,535.96"
ABC Corp,North,Mass,BigCo,North,2017,6,Widgets,A,1234567890,PPG1,"2,17,667.96"
ABC Corp,East,Mass,BigCo,East,2017,6,Widgets,A,1234567890,PPG1,"2,65,037.95"
ABC Corp,South,Mass,BigCo,South,2017,6,Widgets,A,1234567890,PPG1,"9,12,200.47"
ABC Corp,West,Mass,BigCo,West,2017,6,Widgets,A,1234567890,PPG1,"6,81,249.40"
ABC Corp,North,Drug,Rx,North,2017,6,Widgets,A,1234567890,PPG1,"1,24,305.85"
ABC Corp,East,Drug,Rx,East,2017,6,Widgets,A,1234567890,PPG1,"5,67,341.44"
ABC Corp,South,Drug,Rx,South,2017,6,Widgets,A,1234567890,PPG1,"3,46,151.54"
ABC Corp,West,Drug,Rx,West,2017,6,Widgets,A,1234567890,PPG1,"9,90,607.91"
ABC Corp,North,Mass,SuperMart,North,2017,6,Widgets,A,1234512345,PPG1,"1,32,453.57"
ABC Corp,East,Mass,SuperMart,East,2017,6,Widgets,A,1234512345,PPG1,"2,37,355.32"
ABC Corp,South,Mass,SuperMart,Gulf Coast,2017,6,Widgets,A,1234512345,PPG1,"7,20,709.51"
ABC Corp,South,Mass,SuperMart,Deep South,2017,6,Widgets,A,1234512345,PPG1,"1,35,310.71"
ABC Corp,West,Mass,SuperMart,West,2017,6,Widgets,A,1234512345,PPG1,"5,89,850.20"
ABC Corp,North,Mass,BigCo,North,2017,6,Widgets,A,1234512345,PPG1,"1,08,537.23"
ABC Corp,East,Mass,BigCo,East,2017,6,Widgets,A,1234512345,PPG1,"8,36,381.65"
ABC Corp,South,Mass,BigCo,South,2017,6,Widgets,A,1234512345,PPG1,"8,76,734.19"
ABC Corp,West,Mass,BigCo,West,2017,6,Widgets,A,1234512345,PPG1,"3,40,766.59"
ABC Corp,North,Drug,Rx,North,2017,6,Widgets,A,1234512345,PPG1,"4,21,588.23"
ABC Corp,East,Drug,Rx,East,2017,6,Widgets,A,1234512345,PPG1,"1,03,861.11"
ABC Corp,South,Drug,Rx,South,2017,6,Widgets,A,1234512345,PPG1,"1,07,510.20"
ABC Corp,West,Drug,Rx,West,2017,6,Widgets,A,1234512345,PPG1,"7,00,296.01"
ABC Corp,North,Mass,SuperMart,North,2017,7,Widgets,A,1234567890,PPG1,"5,54,114.43"
ABC Corp,East,Mass,SuperMart,East,2017,7,Widgets,A,1234567890,PPG1,"7,37,692.30"
ABC Corp,South,Mass,SuperMart,Gulf Coast,2017,7,Widgets,A,1234567890,PPG1,"4,86,062.42"
ABC Corp,South,Mass,SuperMart,Deep South,2017,7,Widgets,A,1234567890,PPG1,"3,30,380.22"
ABC Corp,West,Mass,SuperMart,West,2017,7,Widgets,A,1234567890,PPG1,"6,26,129.10"
ABC Corp,North,Mass,BigCo,North,2017,7,Widgets,A,1234567890,PPG1,"2,24,916.30"
ABC Corp,East,Mass,BigCo,East,2017,7,Widgets,A,1234567890,PPG1,"2,73,227.62"
ABC Corp,South,Mass,BigCo,South,2017,7,Widgets,A,1234567890,PPG1,"9,18,950.75"
ABC Corp,West,Mass,BigCo,West,2017,7,Widgets,A,1234567890,PPG1,"7,09,453.13"
ABC Corp,North,Drug,Rx,North,2017,7,Widgets,A,1234567890,PPG1,"1,21,583.55"
ABC Corp,East,Drug,Rx,East,2017,7,Widgets,A,1234567890,PPG1,"5,54,519.52"
ABC Corp,South,Drug,Rx,South,2017,7,Widgets,A,1234567890,PPG1,"3,38,120.82"
ABC Corp,West,Drug,Rx,West,2017,7,Widgets,A,1234567890,PPG1,"10,19,137.42"
ABC Corp,North,Mass,SuperMart,North,2017,7,Widgets,A,1234512345,PPG1,"1,37,950.39"
ABC Corp,East,Mass,SuperMart,East,2017,7,Widgets,A,1234512345,PPG1,"2,35,219.12"
ABC Corp,South,Mass,SuperMart,Gulf Coast,2017,7,Widgets,A,1234512345,PPG1,"6,84,890.24"
ABC Corp,South,Mass,SuperMart,Deep South,2017,7,Widgets,A,1234512345,PPG1,"1,39,356.50"
ABC Corp,West,Mass,SuperMart,West,2017,7,Widgets,A,1234512345,PPG1,"5,67,023.00"
ABC Corp,North,Mass,BigCo,North,2017,7,Widgets,A,1234512345,PPG1,"1,08,016.25"
ABC Corp,East,Mass,BigCo,East,2017,7,Widgets,A,1234512345,PPG1,"7,97,908.10"
ABC Corp,South,Mass,BigCo,South,2017,7,Widgets,A,1234512345,PPG1,"8,98,038.83"
ABC Corp,West,Mass,BigCo,West,2017,7,Widgets,A,1234512345,PPG1,"3,34,087.56"
ABC Corp,North,Drug,Rx,North,2017,7,Widgets,A,1234512345,PPG1,"4,02,658.92"
ABC Corp,East,Drug,Rx,East,2017,7,Widgets,A,1234512345,PPG1,"98,990.02"
ABC Corp,South,Drug,Rx,South,2017,7,Widgets,A,1234512345,PPG1,"1,12,466.42"
ABC Corp,West,Drug,Rx,West,2017,7,Widgets,A,1234512345,PPG1,"7,34,750.57"
ABC Corp,North,Mass,SuperMart,North,2017,8,Widgets,A,1234567890,PPG1,"5,72,898.91"
ABC Corp,East,Mass,SuperMart,East,2017,8,Widgets,A,1234567890,PPG1,"7,17,848.38"
ABC Corp,South,Mass,SuperMart,Gulf Coast,2017,8,Widgets,A,1234567890,PPG1,"4,68,904.42"
ABC Corp,South,Mass,SuperMart,Deep South,2017,8,Widgets,A,1234567890,PPG1,"3,36,591.36"
ABC Corp,West,Mass,SuperMart,West,2017,8,Widgets,A,1234567890,PPG1,"6,14,921.39"
ABC Corp,North,Mass,BigCo,North,2017,8,Widgets,A,1234567890,PPG1,"2,16,504.43"
ABC Corp,East,Mass,BigCo,East,2017,8,Widgets,A,1234567890,PPG1,"2,76,151.16"
ABC Corp,South,Mass,BigCo,South,2017,8,Widgets,A,1234567890,PPG1,"9,00,847.42"
ABC Corp,West,Mass,BigCo,West,2017,8,Widgets,A,1234567890,PPG1,"7,03,422.77"
ABC Corp,North,Drug,Rx,North,2017,8,Widgets,A,1234567890,PPG1,"1,22,848.02"
ABC Corp,East,Drug,Rx,East,2017,8,Widgets,A,1234567890,PPG1,"5,36,663.99"
ABC Corp,South,Drug,Rx,South,2017,8,Widgets,A,1234567890,PPG1,"3,25,508.91"
ABC Corp,West,Drug,Rx,West,2017,8,Widgets,A,1234567890,PPG1,"10,50,832.60"
ABC Corp,North,Mass,SuperMart,North,2017,8,Widgets,A,1234512345,PPG1,"1,33,398.03"
ABC Corp,East,Mass,SuperMart,East,2017,8,Widgets,A,1234512345,PPG1,"2,32,372.97"
ABC Corp,South,Mass,SuperMart,Gulf Coast,2017,8,Widgets,A,1234512345,PPG1,"6,65,987.27"
ABC Corp,South,Mass,SuperMart,Deep South,2017,8,Widgets,A,1234512345,PPG1,"1,37,419.44"
ABC Corp,West,Mass,SuperMart,West,2017,8,Widgets,A,1234512345,PPG1,"5,41,053.35"
ABC Corp,North,Mass,BigCo,North,2017,8,Widgets,A,1234512345,PPG1,"1,02,820.67"
ABC Corp,East,Mass,BigCo,East,2017,8,Widgets,A,1234512345,PPG1,"8,04,849.90"
ABC Corp,South,Mass,BigCo,South,2017,8,Widgets,A,1234512345,PPG1,"8,65,709.44"
ABC Corp,West,Mass,BigCo,West,2017,8,Widgets,A,1234512345,PPG1,"3,28,575.12"
ABC Corp,North,Drug,Rx,North,2017,8,Widgets,A,1234512345,PPG1,"4,15,221.88"
ABC Corp,East,Drug,Rx,East,2017,8,Widgets,A,1234512345,PPG1,"1,00,455.08"
ABC Corp,South,Drug,Rx,South,2017,8,Widgets,A,1234512345,PPG1,"1,13,872.25"
ABC Corp,West,Drug,Rx,West,2017,8,Widgets,A,1234512345,PPG1,"7,03,156.30"
ABC Corp,North,Mass,SuperMart,North,2017,9,Widgets,A,1234567890,PPG1,"5,90,315.03"
ABC Corp,East,Mass,SuperMart,East,2017,9,Widgets,A,1234567890,PPG1,"6,83,463.44"
ABC Corp,South,Mass,SuperMart,Gulf Coast,2017,9,Widgets,A,1234567890,PPG1,"4,45,459.19"
ABC Corp,South,Mass,SuperMart,Deep South,2017,9,Widgets,A,1234567890,PPG1,"3,41,707.55"
ABC Corp,West,Mass,SuperMart,West,2017,9,Widgets,A,1234567890,PPG1,"6,22,423.43"
ABC Corp,North,Mass,BigCo,North,2017,9,Widgets,A,1234567890,PPG1,"2,24,580.04"
ABC Corp,East,Mass,BigCo,East,2017,9,Widgets,A,1234567890,PPG1,"2,80,072.51"
ABC Corp,South,Mass,BigCo,South,2017,9,Widgets,A,1234567890,PPG1,"8,58,147.26"
ABC Corp,West,Mass,BigCo,West,2017,9,Widgets,A,1234567890,PPG1,"7,32,825.85"
ABC Corp,North,Drug,Rx,North,2017,9,Widgets,A,1234567890,PPG1,"1,20,403.35"
ABC Corp,East,Drug,Rx,East,2017,9,Widgets,A,1234567890,PPG1,"5,18,739.41"
ABC Corp,South,Drug,Rx,South,2017,9,Widgets,A,1234567890,PPG1,"3,19,584.65"
ABC Corp,West,Drug,Rx,West,2017,9,Widgets,A,1234567890,PPG1,"10,39,588.69"
ABC Corp,North,Mass,SuperMart,North,2017,9,Widgets,A,1234512345,PPG1,"1,37,706.78"
ABC Corp,East,Mass,SuperMart,East,2017,9,Widgets,A,1234512345,PPG1,"2,26,377.75"
ABC Corp,South,Mass,SuperMart,Gulf Coast,2017,9,Widgets,A,1234512345,PPG1,"6,82,703.55"
ABC Corp,South,Mass,SuperMart,Deep South,2017,9,Widgets,A,1234512345,PPG1,"1,39,068.47"
ABC Corp,West,Mass,SuperMart,West,2017,9,Widgets,A,1234512345,PPG1,"5,31,368.49"
ABC Corp,North,Mass,BigCo,North,2017,9,Widgets,A,1234512345,PPG1,"98,193.74"
ABC Corp,East,Mass,BigCo,East,2017,9,Widgets,A,1234512345,PPG1,"7,92,294.24"
ABC Corp,South,Mass,BigCo,South,2017,9,Widgets,A,1234512345,PPG1,"8,72,548.54"
ABC Corp,West,Mass,BigCo,West,2017,9,Widgets,A,1234512345,PPG1,"3,14,380.67"
ABC Corp,North,Drug,Rx,North,2017,9,Widgets,A,1234512345,PPG1,"4,17,090.38"
ABC Corp,East,Drug,Rx,East,2017,9,Widgets,A,1234512345,PPG1,"1,00,776.53"
ABC Corp,South,Drug,Rx,South,2017,9,Widgets,A,1234512345,PPG1,"1,08,599.97"
ABC Corp,West,Drug,Rx,West,2017,9,Widgets,A,1234512345,PPG1,"7,25,516.67"
ABC Corp,North,Mass,SuperMart,North,2017,10,Widgets,A,1234567890,PPG1,"6,07,493.20"
ABC Corp,East,Mass,SuperMart,East,2017,10,Widgets,A,1234567890,PPG1,"6,84,967.06"
ABC Corp,South,Mass,SuperMart,Gulf Coast,2017,10,Widgets,A,1234567890,PPG1,"4,64,034.84"
ABC Corp,South,Mass,SuperMart,Deep South,2017,10,Widgets,A,1234567890,PPG1,"3,35,044.26"
ABC Corp,West,Mass,SuperMart,West,2017,10,Widgets,A,1234567890,PPG1,"6,36,614.68"
ABC Corp,North,Mass,BigCo,North,2017,10,Widgets,A,1234567890,PPG1,"2,25,613.11"
ABC Corp,East,Mass,BigCo,East,2017,10,Widgets,A,1234567890,PPG1,"2,68,309.46"
ABC Corp,South,Mass,BigCo,South,2017,10,Widgets,A,1234567890,PPG1,"8,59,949.37"
ABC Corp,West,Mass,BigCo,West,2017,10,Widgets,A,1234567890,PPG1,"7,66,022.86"
ABC Corp,North,Drug,Rx,North,2017,10,Widgets,A,1234567890,PPG1,"1,15,081.52"
ABC Corp,East,Drug,Rx,East,2017,10,Widgets,A,1234567890,PPG1,"5,23,200.57"
ABC Corp,South,Drug,Rx,South,2017,10,Widgets,A,1234567890,PPG1,"3,14,854.80"
ABC Corp,West,Drug,Rx,West,2017,10,Widgets,A,1234567890,PPG1,"10,24,202.77"
ABC Corp,North,Mass,SuperMart,North,2017,10,Widgets,A,1234512345,PPG1,"1,41,686.51"
ABC Corp,East,Mass,SuperMart,East,2017,10,Widgets,A,1234512345,PPG1,"2,20,175.00"
ABC Corp,South,Mass,SuperMart,Gulf Coast,2017,10,Widgets,A,1234512345,PPG1,"6,96,494.17"
ABC Corp,South,Mass,SuperMart,Deep South,2017,10,Widgets,A,1234512345,PPG1,"1,32,796.49"
ABC Corp,West,Mass,SuperMart,West,2017,10,Widgets,A,1234512345,PPG1,"5,04,800.07"
ABC Corp,North,Mass,BigCo,North,2017,10,Widgets,A,1234512345,PPG1,"99,067.66"
ABC Corp,East,Mass,BigCo,East,2017,10,Widgets,A,1234512345,PPG1,"7,65,435.46"
ABC Corp,South,Mass,BigCo,South,2017,10,Widgets,A,1234512345,PPG1,"8,31,102.49"
ABC Corp,West,Mass,BigCo,West,2017,10,Widgets,A,1234512345,PPG1,"3,26,735.83"
ABC Corp,North,Drug,Rx,North,2017,10,Widgets,A,1234512345,PPG1,"4,04,535.96"
ABC Corp,East,Drug,Rx,East,2017,10,Widgets,A,1234512345,PPG1,"1,00,091.25"
ABC Corp,South,Drug,Rx,South,2017,10,Widgets,A,1234512345,PPG1,"1,10,000.91"
ABC Corp,West,Drug,Rx,West,2017,10,Widgets,A,1234512345,PPG1,"7,34,948.38"
ABC Corp,North,Mass,SuperMart,North,2017,11,Widgets,A,1234567890,PPG1,"6,09,194.18"
ABC Corp,East,Mass,SuperMart,East,2017,11,Widgets,A,1234567890,PPG1,"6,87,843.92"
ABC Corp,South,Mass,SuperMart,Gulf Coast,2017,11,Widgets,A,1234567890,PPG1,"4,63,524.40"
