CPG,CPG Region,Channel,Retailer,Retailer Region,Year,Week,Category, Sales 
XYZ Manufacturing,East,Mass,SuperMart,East,2017,3,Widgets,"28,38,957.27"
XYZ Manufacturing,South,Mass,SuperMart,Gulf Coast,2017,3,Widgets,"6,89,218.43"
XYZ Manufacturing,South,Mass,SuperMart,Deep South,2017,3,Widgets,"6,15,870.72"
XYZ Manufacturing,West,Mass,SuperMart,West,2017,3,Widgets,"44,70,171.08"
AAA Industries,East,Mass,SuperMart,East,2017,3,Widgets,"14,35,341.97"
AAA Industries,South,Mass,SuperMart,Gulf Coast,2017,3,Widgets,"28,81,608.70"
AAA Industries,South,Mass,SuperMart,Deep South,2017,3,Widgets,"7,92,523.88"
AAA Industries,West,Mass,SuperMart,West,2017,3,Widgets,"28,42,622.32"
XYZ Manufacturing,North,Mass,BigCo,North,2017,3,Widgets,"24,69,163.33"
XYZ Manufacturing,East,Mass,BigCo,East,2017,3,Widgets,"13,43,343.44"
XYZ Manufacturing,South,Mass,BigCo,South,2017,3,Widgets,"12,82,849.44"
XYZ Manufacturing,West,Mass,BigCo,West,2017,3,Widgets,"42,03,796.16"
AAA Industries,North,Mass,BigCo,North,2017,3,Widgets,"54,13,147.02"
AAA Industries,East,Mass,BigCo,East,2017,3,Widgets,"8,66,225.00"
AAA Industries,South,Mass,BigCo,South,2017,3,Widgets,"13,50,396.84"
AAA Industries,West,Mass,BigCo,West,2017,3,Widgets,"36,55,470.69"
XYZ Manufacturing,North,Drug,Rx,North,2017,3,Widgets,"8,06,827.05"
XYZ Manufacturing,East,Drug,Rx,East,2017,3,Widgets,"8,36,780.78"
XYZ Manufacturing,South,Drug,Rx,South,2017,3,Widgets,"8,44,853.20"
XYZ Manufacturing,West,Drug,Rx,West,2017,3,Widgets,"1,79,730.39"
AAA Industries,North,Drug,Rx,North,2017,3,Widgets,"4,03,437.02"
AAA Industries,East,Drug,Rx,East,2017,3,Widgets,"6,34,216.10"
AAA Industries,South,Drug,Rx,South,2017,3,Widgets,"8,20,720.65"
AAA Industries,West,Drug,Rx,West,2017,3,Widgets,"8,26,430.88"
XYZ Manufacturing,North,Mass,SuperMart,North,2017,4,Widgets,"10,15,289.51"
XYZ Manufacturing,East,Mass,SuperMart,East,2017,4,Widgets,"30,93,940.01"
XYZ Manufacturing,South,Mass,SuperMart,Gulf Coast,2017,4,Widgets,"7,89,783.53"
XYZ Manufacturing,South,Mass,SuperMart,Deep South,2017,4,Widgets,"6,11,444.35"
XYZ Manufacturing,West,Mass,SuperMart,West,2017,4,Widgets,"47,81,385.24"
AAA Industries,East,Mass,SuperMart,East,2017,4,Widgets,"13,23,007.88"
AAA Industries,South,Mass,SuperMart,Gulf Coast,2017,4,Widgets,"28,47,803.96"
AAA Industries,South,Mass,SuperMart,Deep South,2017,4,Widgets,"8,05,448.00"
AAA Industries,West,Mass,SuperMart,West,2017,4,Widgets,"27,16,750.07"
XYZ Manufacturing,North,Mass,BigCo,North,2017,4,Widgets,"26,77,589.69"
XYZ Manufacturing,East,Mass,BigCo,East,2017,4,Widgets,"14,12,919.02"
XYZ Manufacturing,South,Mass,BigCo,South,2017,4,Widgets,"13,39,326.25"
XYZ Manufacturing,West,Mass,BigCo,West,2017,4,Widgets,"43,43,988.40"
AAA Industries,North,Mass,BigCo,North,2017,4,Widgets,"58,20,111.07"
AAA Industries,East,Mass,BigCo,East,2017,4,Widgets,"8,17,676.22"
AAA Industries,South,Mass,BigCo,South,2017,4,Widgets,"13,63,743.40"
AAA Industries,West,Mass,BigCo,West,2017,4,Widgets,"37,68,335.15"
XYZ Manufacturing,North,Drug,Rx,North,2017,4,Widgets,"7,79,957.98"
XYZ Manufacturing,East,Drug,Rx,East,2017,4,Widgets,"8,67,922.45"
XYZ Manufacturing,South,Drug,Rx,South,2017,4,Widgets,"9,09,259.24"
XYZ Manufacturing,West,Drug,Rx,West,2017,4,Widgets,"1,77,746.62"
AAA Industries,North,Drug,Rx,North,2017,4,Widgets,"4,14,294.17"
AAA Industries,East,Drug,Rx,East,2017,4,Widgets,"6,27,530.11"
AAA Industries,South,Drug,Rx,South,2017,4,Widgets,"8,03,600.33"
AAA Industries,West,Drug,Rx,West,2017,4,Widgets,"8,06,023.27"
XYZ Manufacturing,North,Mass,SuperMart,North,2017,5,Widgets,"10,02,815.56"
XYZ Manufacturing,East,Mass,SuperMart,East,2017,5,Widgets,"30,80,183.85"
XYZ Manufacturing,South,Mass,SuperMart,Gulf Coast,2017,5,Widgets,"7,06,570.52"
XYZ Manufacturing,South,Mass,SuperMart,Deep South,2017,5,Widgets,"5,73,477.71"
XYZ Manufacturing,West,Mass,SuperMart,West,2017,5,Widgets,"46,00,069.17"
AAA Industries,East,Mass,SuperMart,East,2017,5,Widgets,"14,58,357.54"
AAA Industries,South,Mass,SuperMart,Gulf Coast,2017,5,Widgets,"29,12,310.96"
AAA Industries,South,Mass,SuperMart,Deep South,2017,5,Widgets,"8,55,257.27"
AAA Industries,West,Mass,SuperMart,West,2017,5,Widgets,"27,17,608.31"
XYZ Manufacturing,North,Mass,BigCo,North,2017,5,Widgets,"25,68,532.53"
XYZ Manufacturing,East,Mass,BigCo,East,2017,5,Widgets,"14,64,478.58"
XYZ Manufacturing,South,Mass,BigCo,South,2017,5,Widgets,"13,48,433.83"
XYZ Manufacturing,West,Mass,BigCo,West,2017,5,Widgets,"42,98,780.31"
AAA Industries,North,Mass,BigCo,North,2017,5,Widgets,"54,54,819.14"
AAA Industries,East,Mass,BigCo,East,2017,5,Widgets,"8,67,082.32"
AAA Industries,South,Mass,BigCo,South,2017,5,Widgets,"13,91,828.00"
AAA Industries,West,Mass,BigCo,West,2017,5,Widgets,"34,89,200.59"
XYZ Manufacturing,North,Drug,Rx,North,2017,5,Widgets,"7,84,634.94"
XYZ Manufacturing,East,Drug,Rx,East,2017,5,Widgets,"8,85,540.78"
XYZ Manufacturing,South,Drug,Rx,South,2017,5,Widgets,"8,75,745.61"
XYZ Manufacturing,West,Drug,Rx,West,2017,5,Widgets,"1,61,091.89"
AAA Industries,North,Drug,Rx,North,2017,5,Widgets,"4,28,804.54"
AAA Industries,East,Drug,Rx,East,2017,5,Widgets,"6,51,939.99"
AAA Industries,South,Drug,Rx,South,2017,5,Widgets,"8,10,242.51"
AAA Industries,West,Drug,Rx,West,2017,5,Widgets,"7,75,336.65"
XYZ Manufacturing,North,Mass,SuperMart,North,2017,6,Widgets,"9,57,287.74"
XYZ Manufacturing,East,Mass,SuperMart,East,2017,6,Widgets,"30,64,899.44"
XYZ Manufacturing,South,Mass,SuperMart,Gulf Coast,2017,6,Widgets,"6,58,474.31"
XYZ Manufacturing,South,Mass,SuperMart,Deep South,2017,6,Widgets,"5,62,088.94"
XYZ Manufacturing,West,Mass,SuperMart,West,2017,6,Widgets,"41,49,104.78"
AAA Industries,East,Mass,SuperMart,East,2017,6,Widgets,"14,25,356.57"
AAA Industries,South,Mass,SuperMart,Gulf Coast,2017,6,Widgets,"27,97,163.48"
AAA Industries,South,Mass,SuperMart,Deep South,2017,6,Widgets,"7,63,327.73"
AAA Industries,West,Mass,SuperMart,West,2017,6,Widgets,"25,61,073.82"
XYZ Manufacturing,North,Mass,BigCo,North,2017,6,Widgets,"25,39,180.72"
XYZ Manufacturing,East,Mass,BigCo,East,2017,6,Widgets,"13,95,574.04"
XYZ Manufacturing,South,Mass,BigCo,South,2017,6,Widgets,"13,76,174.70"
XYZ Manufacturing,West,Mass,BigCo,West,2017,6,Widgets,"46,15,693.23"
AAA Industries,North,Mass,BigCo,North,2017,6,Widgets,"51,82,466.41"
AAA Industries,East,Mass,BigCo,East,2017,6,Widgets,"8,18,851.96"
AAA Industries,South,Mass,BigCo,South,2017,6,Widgets,"14,12,378.92"
AAA Industries,West,Mass,BigCo,West,2017,6,Widgets,"37,94,520.22"
XYZ Manufacturing,North,Drug,Rx,North,2017,6,Widgets,"8,42,581.78"
XYZ Manufacturing,East,Drug,Rx,East,2017,6,Widgets,"8,43,108.50"
XYZ Manufacturing,South,Drug,Rx,South,2017,6,Widgets,"9,28,280.36"
XYZ Manufacturing,West,Drug,Rx,West,2017,6,Widgets,"1,59,614.26"
AAA Industries,North,Drug,Rx,North,2017,6,Widgets,"4,15,528.87"
AAA Industries,East,Drug,Rx,East,2017,6,Widgets,"6,47,261.78"
AAA Industries,South,Drug,Rx,South,2017,6,Widgets,"8,49,808.79"
AAA Industries,West,Drug,Rx,West,2017,6,Widgets,"7,84,237.13"
XYZ Manufacturing,North,Mass,SuperMart,North,2017,7,Widgets,"8,92,156.74"
XYZ Manufacturing,East,Mass,SuperMart,East,2017,7,Widgets,"31,43,338.46"
XYZ Manufacturing,South,Mass,SuperMart,Gulf Coast,2017,7,Widgets,"6,68,530.72"
XYZ Manufacturing,South,Mass,SuperMart,Deep South,2017,7,Widgets,"5,99,146.36"
XYZ Manufacturing,West,Mass,SuperMart,West,2017,7,Widgets,"47,51,863.98"
AAA Industries,East,Mass,SuperMart,East,2017,7,Widgets,"13,92,375.23"
AAA Industries,South,Mass,SuperMart,Gulf Coast,2017,7,Widgets,"26,84,010.33"
AAA Industries,South,Mass,SuperMart,Deep South,2017,7,Widgets,"7,14,849.79"
AAA Industries,West,Mass,SuperMart,West,2017,7,Widgets,"26,64,942.15"
XYZ Manufacturing,North,Mass,BigCo,North,2017,7,Widgets,"27,22,295.87"
XYZ Manufacturing,East,Mass,BigCo,East,2017,7,Widgets,"14,15,268.10"
XYZ Manufacturing,South,Mass,BigCo,South,2017,7,Widgets,"14,06,734.90"
XYZ Manufacturing,West,Mass,BigCo,West,2017,7,Widgets,"45,48,720.81"
AAA Industries,North,Mass,BigCo,North,2017,7,Widgets,"50,23,164.51"
AAA Industries,East,Mass,BigCo,East,2017,7,Widgets,"8,34,089.15"
AAA Industries,South,Mass,BigCo,South,2017,7,Widgets,"14,84,771.23"
AAA Industries,West,Mass,BigCo,West,2017,7,Widgets,"36,39,227.48"
XYZ Manufacturing,North,Drug,Rx,North,2017,7,Widgets,"8,79,712.79"
XYZ Manufacturing,East,Drug,Rx,East,2017,7,Widgets,"8,41,862.01"
XYZ Manufacturing,South,Drug,Rx,South,2017,7,Widgets,"8,89,733.00"
XYZ Manufacturing,West,Drug,Rx,West,2017,7,Widgets,"1,50,671.36"
AAA Industries,North,Drug,Rx,North,2017,7,Widgets,"4,25,298.00"
AAA Industries,East,Drug,Rx,East,2017,7,Widgets,"6,22,364.85"
AAA Industries,South,Drug,Rx,South,2017,7,Widgets,"7,45,269.05"
AAA Industries,West,Drug,Rx,West,2017,7,Widgets,"7,49,355.12"
XYZ Manufacturing,North,Mass,SuperMart,North,2017,8,Widgets,"9,89,432.45"
XYZ Manufacturing,East,Mass,SuperMart,East,2017,8,Widgets,"30,72,801.64"
XYZ Manufacturing,South,Mass,SuperMart,Gulf Coast,2017,8,Widgets,"7,13,774.64"
XYZ Manufacturing,South,Mass,SuperMart,Deep South,2017,8,Widgets,"5,79,984.30"
XYZ Manufacturing,West,Mass,SuperMart,West,2017,8,Widgets,"45,93,756.36"
AAA Industries,East,Mass,SuperMart,East,2017,8,Widgets,"12,91,112.43"
AAA Industries,South,Mass,SuperMart,Gulf Coast,2017,8,Widgets,"25,61,839.32"
AAA Industries,South,Mass,SuperMart,Deep South,2017,8,Widgets,"7,53,079.28"
AAA Industries,West,Mass,SuperMart,West,2017,8,Widgets,"29,05,288.53"
XYZ Manufacturing,North,Mass,BigCo,North,2017,8,Widgets,"26,78,650.97"
XYZ Manufacturing,East,Mass,BigCo,East,2017,8,Widgets,"12,81,805.97"
XYZ Manufacturing,South,Mass,BigCo,South,2017,8,Widgets,"13,89,977.62"
XYZ Manufacturing,West,Mass,BigCo,West,2017,8,Widgets,"43,87,723.95"
AAA Industries,North,Mass,BigCo,North,2017,8,Widgets,"52,85,512.54"
AAA Industries,East,Mass,BigCo,East,2017,8,Widgets,"8,79,171.84"
AAA Industries,South,Mass,BigCo,South,2017,8,Widgets,"15,19,537.12"
AAA Industries,West,Mass,BigCo,West,2017,8,Widgets,"34,84,094.11"
XYZ Manufacturing,North,Drug,Rx,North,2017,8,Widgets,"8,56,902.76"
XYZ Manufacturing,East,Drug,Rx,East,2017,8,Widgets,"8,87,373.64"
XYZ Manufacturing,South,Drug,Rx,South,2017,8,Widgets,"9,57,807.81"
XYZ Manufacturing,West,Drug,Rx,West,2017,8,Widgets,"1,45,533.07"
AAA Industries,North,Drug,Rx,North,2017,8,Widgets,"4,10,362.14"
AAA Industries,East,Drug,Rx,East,2017,8,Widgets,"6,39,295.73"
AAA Industries,South,Drug,Rx,South,2017,8,Widgets,"7,92,883.59"
AAA Industries,West,Drug,Rx,West,2017,8,Widgets,"7,00,237.66"
XYZ Manufacturing,North,Mass,SuperMart,North,2017,9,Widgets,"9,41,430.62"
XYZ Manufacturing,East,Mass,SuperMart,East,2017,9,Widgets,"32,18,353.77"
XYZ Manufacturing,South,Mass,SuperMart,Gulf Coast,2017,9,Widgets,"7,24,604.61"
XYZ Manufacturing,South,Mass,SuperMart,Deep South,2017,9,Widgets,"6,38,472.99"
XYZ Manufacturing,West,Mass,SuperMart,West,2017,9,Widgets,"46,11,843.35"
AAA Industries,East,Mass,SuperMart,East,2017,9,Widgets,"14,63,985.39"
AAA Industries,South,Mass,SuperMart,Gulf Coast,2017,9,Widgets,"24,16,695.27"
AAA Industries,South,Mass,SuperMart,Deep South,2017,9,Widgets,"7,30,078.70"
AAA Industries,West,Mass,SuperMart,West,2017,9,Widgets,"29,05,516.51"
XYZ Manufacturing,North,Mass,BigCo,North,2017,9,Widgets,"28,95,205.12"
XYZ Manufacturing,East,Mass,BigCo,East,2017,9,Widgets,"13,31,541.93"
XYZ Manufacturing,South,Mass,BigCo,South,2017,9,Widgets,"12,88,433.86"
XYZ Manufacturing,West,Mass,BigCo,West,2017,9,Widgets,"45,27,545.60"
AAA Industries,North,Mass,BigCo,North,2017,9,Widgets,"57,80,074.11"
AAA Industries,East,Mass,BigCo,East,2017,9,Widgets,"8,42,388.22"
AAA Industries,South,Mass,BigCo,South,2017,9,Widgets,"15,60,646.84"
AAA Industries,West,Mass,BigCo,West,2017,9,Widgets,"35,09,686.55"
XYZ Manufacturing,North,Drug,Rx,North,2017,9,Widgets,"8,47,174.59"
XYZ Manufacturing,East,Drug,Rx,East,2017,9,Widgets,"9,20,546.34"
XYZ Manufacturing,South,Drug,Rx,South,2017,9,Widgets,"9,01,169.83"
XYZ Manufacturing,West,Drug,Rx,West,2017,9,Widgets,"1,53,126.02"
AAA Industries,North,Drug,Rx,North,2017,9,Widgets,"3,99,848.96"
AAA Industries,East,Drug,Rx,East,2017,9,Widgets,"6,32,213.56"
AAA Industries,South,Drug,Rx,South,2017,9,Widgets,"7,83,636.13"
AAA Industries,West,Drug,Rx,West,2017,9,Widgets,"7,55,423.19"
XYZ Manufacturing,North,Mass,SuperMart,North,2017,10,Widgets,"10,20,953.58"
XYZ Manufacturing,East,Mass,SuperMart,East,2017,10,Widgets,"33,46,950.93"
XYZ Manufacturing,South,Mass,SuperMart,Gulf Coast,2017,10,Widgets,"7,64,954.84"
XYZ Manufacturing,South,Mass,SuperMart,Deep South,2017,10,Widgets,"5,95,949.23"
XYZ Manufacturing,West,Mass,SuperMart,West,2017,10,Widgets,"46,71,145.59"
AAA Industries,East,Mass,SuperMart,East,2017,10,Widgets,"13,24,048.25"
AAA Industries,South,Mass,SuperMart,Gulf Coast,2017,10,Widgets,"23,54,880.16"
AAA Industries,South,Mass,SuperMart,Deep South,2017,10,Widgets,"7,26,837.56"
AAA Industries,West,Mass,SuperMart,West,2017,10,Widgets,"27,03,967.16"
XYZ Manufacturing,North,Mass,BigCo,North,2017,10,Widgets,"28,97,385.63"
XYZ Manufacturing,East,Mass,BigCo,East,2017,10,Widgets,"12,77,651.37"
XYZ Manufacturing,South,Mass,BigCo,South,2017,10,Widgets,"12,96,798.13"
XYZ Manufacturing,West,Mass,BigCo,West,2017,10,Widgets,"47,23,501.89"
AAA Industries,North,Mass,BigCo,North,2017,10,Widgets,"54,36,301.62"
AAA Industries,East,Mass,BigCo,East,2017,10,Widgets,"8,09,590.88"
AAA Industries,South,Mass,BigCo,South,2017,10,Widgets,"17,23,890.71"
AAA Industries,West,Mass,BigCo,West,2017,10,Widgets,"37,38,320.05"
XYZ Manufacturing,North,Drug,Rx,North,2017,10,Widgets,"8,28,832.59"
XYZ Manufacturing,East,Drug,Rx,East,2017,10,Widgets,"8,44,404.40"
XYZ Manufacturing,South,Drug,Rx,South,2017,10,Widgets,"8,57,433.70"
XYZ Manufacturing,West,Drug,Rx,West,2017,10,Widgets,"1,53,980.24"
AAA Industries,North,Drug,Rx,North,2017,10,Widgets,"4,09,278.90"
AAA Industries,East,Drug,Rx,East,2017,10,Widgets,"6,06,920.24"
AAA Industries,South,Drug,Rx,South,2017,10,Widgets,"8,10,298.47"
AAA Industries,West,Drug,Rx,West,2017,10,Widgets,"7,58,770.64"
XYZ Manufacturing,North,Mass,SuperMart,North,2017,11,Widgets,"9,72,705.26"
XYZ Manufacturing,East,Mass,SuperMart,East,2017,11,Widgets,"31,53,019.77"
XYZ Manufacturing,South,Mass,SuperMart,Gulf Coast,2017,11,Widgets,"7,45,671.15"
XYZ Manufacturing,South,Mass,SuperMart,Deep South,2017,11,Widgets,"6,07,804.66"
XYZ Manufacturing,West,Mass,SuperMart,West,2017,11,Widgets,"48,68,649.13"
AAA Industries,East,Mass,SuperMart,East,2017,11,Widgets,"14,14,499.47"
AAA Industries,South,Mass,SuperMart,Gulf Coast,2017,11,Widgets,"22,37,148.18"
AAA Industries,South,Mass,SuperMart,Deep South,2017,11,Widgets,"7,23,387.05"
AAA Industries,West,Mass,SuperMart,West,2017,11,Widgets,"26,59,575.86"
XYZ Manufacturing,North,Mass,BigCo,North,2017,11,Widgets,"31,61,301.06"
XYZ Manufacturing,East,Mass,BigCo,East,2017,11,Widgets,"12,13,898.78"
XYZ Manufacturing,South,Mass,BigCo,South,2017,11,Widgets,"12,62,401.07"
XYZ Manufacturing,West,Mass,BigCo,West,2017,11,Widgets,"45,34,463.16"
AAA Industries,North,Mass,BigCo,North,2017,11,Widgets,"58,08,910.58"
AAA Industries,East,Mass,BigCo,East,2017,11,Widgets,"8,34,455.56"
AAA Industries,South,Mass,BigCo,South,2017,11,Widgets,"17,33,545.43"
AAA Industries,West,Mass,BigCo,West,2017,11,Widgets,"35,47,474.94"
XYZ Manufacturing,North,Drug,Rx,North,2017,11,Widgets,"8,82,394.15"
XYZ Manufacturing,East,Drug,Rx,East,2017,11,Widgets,"9,13,013.23"
XYZ Manufacturing,South,Drug,Rx,South,2017,11,Widgets,"8,58,078.04"
XYZ Manufacturing,West,Drug,Rx,West,2017,11,Widgets,"1,64,195.65"
AAA Industries,North,Drug,Rx,North,2017,11,Widgets,"3,91,858.98"
AAA Industries,East,Drug,Rx,East,2017,11,Widgets,"6,79,062.15"
AAA Industries,South,Drug,Rx,South,2017,11,Widgets,"8,65,122.68"
AAA Industries,West,Drug,Rx,West,2017,11,Widgets,"7,27,613.13"
XYZ Manufacturing,North,Mass,SuperMart,North,2017,12,Widgets,"9,32,309.82"
XYZ Manufacturing,East,Mass,SuperMart,East,2017,12,Widgets,"31,45,395.15"
XYZ Manufacturing,South,Mass,SuperMart,Gulf Coast,2017,12,Widgets,"7,13,083.06"
XYZ Manufacturing,South,Mass,SuperMart,Deep South,2017,12,Widgets,"6,39,620.38"
XYZ Manufacturing,West,Mass,SuperMart,West,2017,12,Widgets,"48,51,646.24"
AAA Industries,East,Mass,SuperMart,East,2017,12,Widgets,"13,64,970.02"
AAA Industries,South,Mass,SuperMart,Gulf Coast,2017,12,Widgets,"22,16,587.34"
AAA Industries,South,Mass,SuperMart,Deep South,2017,12,Widgets,"7,27,193.38"
AAA Industries,West,Mass,SuperMart,West,2017,12,Widgets,"25,59,577.16"
XYZ Manufacturing,North,Mass,BigCo,North,2017,12,Widgets,"31,26,899.47"
XYZ Manufacturing,East,Mass,BigCo,East,2017,12,Widgets,"12,66,356.84"
XYZ Manufacturing,South,Mass,BigCo,South,2017,12,Widgets,"13,21,928.51"
XYZ Manufacturing,West,Mass,BigCo,West,2017,12,Widgets,"42,86,662.64"
AAA Industries,North,Mass,BigCo,North,2017,12,Widgets,"56,05,206.36"
AAA Industries,East,Mass,BigCo,East,2017,12,Widgets,"8,05,049.41"
AAA Industries,South,Mass,BigCo,South,2017,12,Widgets,"17,27,862.26"
AAA Industries,West,Mass,BigCo,West,2017,12,Widgets,"37,13,213.08"
XYZ Manufacturing,North,Drug,Rx,North,2017,12,Widgets,"8,79,929.67"
XYZ Manufacturing,East,Drug,Rx,East,2017,12,Widgets,"9,04,458.68"
XYZ Manufacturing,South,Drug,Rx,South,2017,12,Widgets,"8,67,045.19"
XYZ Manufacturing,West,Drug,Rx,West,2017,12,Widgets,"1,60,121.20"
AAA Industries,North,Drug,Rx,North,2017,12,Widgets,"4,17,895.15"
AAA Industries,East,Drug,Rx,East,2017,12,Widgets,"6,65,611.16"
AAA Industries,South,Drug,Rx,South,2017,12,Widgets,"7,68,179.47"
AAA Industries,West,Drug,Rx,West,2017,12,Widgets,"7,44,506.98"
XYZ Manufacturing,North,Mass,SuperMart,North,2017,13,Widgets,"9,93,641.47"
XYZ Manufacturing,East,Mass,SuperMart,East,2017,13,Widgets,"29,17,328.13"
XYZ Manufacturing,South,Mass,SuperMart,Gulf Coast,2017,13,Widgets,"7,31,576.11"
XYZ Manufacturing,South,Mass,SuperMart,Deep South,2017,13,Widgets,"6,27,017.31"
XYZ Manufacturing,West,Mass,SuperMart,West,2017,13,Widgets,"46,08,386.81"
AAA Industries,East,Mass,SuperMart,East,2017,13,Widgets,"13,84,027.16"
AAA Industries,South,Mass,SuperMart,Gulf Coast,2017,13,Widgets,"23,12,201.46"
AAA Industries,South,Mass,SuperMart,Deep South,2017,13,Widgets,"7,13,304.51"
AAA Industries,West,Mass,SuperMart,West,2017,13,Widgets,"27,34,873.81"
XYZ Manufacturing,North,Mass,BigCo,North,2017,13,Widgets,"31,19,376.30"
XYZ Manufacturing,East,Mass,BigCo,East,2017,13,Widgets,"12,65,244.46"
XYZ Manufacturing,South,Mass,BigCo,South,2017,13,Widgets,"13,81,295.20"
XYZ Manufacturing,West,Mass,BigCo,West,2017,13,Widgets,"47,34,168.25"
AAA Industries,North,Mass,BigCo,North,2017,13,Widgets,"58,47,488.02"
AAA Industries,East,Mass,BigCo,East,2017,13,Widgets,"8,34,813.13"
AAA Industries,South,Mass,BigCo,South,2017,13,Widgets,"17,73,158.98"
AAA Industries,West,Mass,BigCo,West,2017,13,Widgets,"36,93,535.28"
XYZ Manufacturing,North,Drug,Rx,North,2017,13,Widgets,"8,80,773.39"
XYZ Manufacturing,East,Drug,Rx,East,2017,13,Widgets,"9,37,208.46"
XYZ Manufacturing,South,Drug,Rx,South,2017,13,Widgets,"8,42,799.07"
XYZ Manufacturing,West,Drug,Rx,West,2017,13,Widgets,"1,62,565.07"
AAA Industries,North,Drug,Rx,North,2017,13,Widgets,"3,71,548.99"
AAA Industries,East,Drug,Rx,East,2017,13,Widgets,"6,28,033.98"
AAA Industries,South,Drug,Rx,South,2017,13,Widgets,"8,42,678.04"
